iter	Passed	Remaining
0	137	137277
1	138	69002
2	139	46236
3	139	34799
4	140	27978
5	141	23420
6	142	20176
7	143	17748
8	143	15817
9	144	14312
10	145	13084
11	146	12054
12	147	11183
13	148	10434
14	149	9814
15	150	9266
16	151	8766
17	152	8318
18	153	7922
19	154	7561
20	155	7238
21	156	6944
22	157	6678
23	158	6432
24	159	6203
25	159	5991
26	160	5797
27	161	5616
28	162	5450
29	163	5300
30	164	5156
31	165	5014
32	166	4885
33	167	4760
34	168	4642
35	169	4531
36	170	4427
37	170	4327
38	171	4234
39	172	4145
40	173	4068
41	174	3987
42	175	3917
43	176	3844
44	177	3774
45	178	3707
46	179	3642
47	180	3581
48	181	3522
49	182	3465
50	183	3409
51	184	3356
52	184	3305
53	185	3255
54	186	3205
55	187	3157
56	188	3112
57	189	3071
58	189	3029
59	190	2990
60	191	2947
61	192	2907
62	192	2866
63	193	2832
64	194	2798
65	195	2765
66	196	2733
67	197	2702
68	198	2673
69	199	2644
70	199	2615
71	200	2587
72	201	2560
73	202	2535
74	203	2510
75	204	2486
76	205	2462
77	206	2438
78	207	2415
79	208	2393
80	209	2372
81	209	2349
82	210	2328
83	211	2309
84	212	2288
85	213	2269
86	214	2250
87	215	2231
88	215	2210
89	216	2192
90	217	2175
91	218	2157
92	219	2140
93	220	2123
94	221	2107
95	222	2091
96	223	2076
97	223	2061
98	224	2045
99	225	2030
100	226	2015
101	227	2000
102	228	1987
103	229	1973
104	229	1959
105	230	1946
106	231	1933
107	232	1920
108	233	1907
109	234	1895
110	235	1883
111	236	1871
112	236	1859
113	237	1848
114	238	1835
115	239	1823
116	240	1813
117	241	1803
118	242	1794
119	243	1783
120	243	1772
121	244	1762
122	245	1751
123	246	1741
124	247	1731
125	248	1722
126	249	1712
127	249	1702
128	250	1693
129	251	1684
130	252	1676
131	253	1667
132	254	1659
133	255	1651
134	256	1643
135	257	1634
136	258	1625
137	258	1617
138	259	1609
139	260	1601
140	261	1593
141	262	1585
142	263	1577
143	264	1570
144	265	1563
145	265	1555
146	266	1548
147	267	1541
148	268	1532
149	269	1526
150	270	1519
151	271	1511
152	271	1505
153	272	1498
154	273	1491
155	274	1485
156	275	1478
157	276	1473
158	277	1468
159	278	1462
160	279	1455
161	280	1449
162	281	1443
163	282	1437
164	283	1432
165	283	1425
166	284	1420
167	285	1414
168	286	1409
169	287	1403
170	288	1398
171	289	1392
172	290	1387
173	291	1382
174	292	1377
175	292	1371
176	293	1366
177	294	1361
178	295	1355
179	296	1350
180	297	1345
181	298	1340
182	299	1335
183	299	1330
184	300	1325
185	301	1320
186	302	1315
187	303	1311
188	304	1306
189	305	1301
190	306	1296
191	307	1292
192	308	1288
193	309	1284
194	310	1279
195	310	1275
196	311	1271
197	312	1267
198	313	1263
199	314	1258
200	315	1254
201	316	1250
202	317	1246
203	318	1242
204	319	1237
205	320	1233
206	321	1229
207	321	1225
208	322	1221
209	323	1217
210	324	1213
211	325	1209
212	326	1205
213	327	1201
214	328	1197
215	328	1193
216	329	1190
217	330	1186
218	331	1183
219	332	1180
220	333	1176
221	334	1172
222	335	1168
223	336	1164
224	337	1161
225	337	1157
226	338	1153
227	339	1151
228	340	1147
229	341	1143
230	342	1140
231	343	1137
232	344	1133
233	345	1130
234	346	1126
235	346	1123
236	347	1119
237	348	1116
238	349	1112
239	350	1108
240	351	1105
241	351	1102
242	352	1098
243	353	1095
244	354	1092
245	355	1089
246	356	1085
247	356	1082
248	357	1079
249	358	1075
250	359	1072
251	360	1069
252	361	1066
253	362	1063
254	363	1060
255	363	1057
256	364	1055
257	365	1051
258	366	1048
259	367	1045
260	368	1042
261	369	1039
262	370	1036
263	370	1034
264	371	1031
265	372	1028
266	373	1026
267	374	1023
268	375	1021
269	376	1018
270	377	1015
271	378	1012
272	379	1009
273	379	1006
274	380	1004
275	381	1001
276	382	998
277	383	995
278	384	992
279	385	990
280	386	987
281	387	985
282	387	982
283	388	980
284	389	977
285	390	974
286	391	971
287	392	969
288	393	966
289	393	964
290	394	962
291	395	959
292	396	956
293	397	954
294	398	951
295	399	949
296	400	947
297	401	945
298	402	942
299	402	940
300	403	937
301	404	935
302	405	932
303	406	930
304	407	928
305	408	925
306	409	923
307	410	921
308	410	919
309	411	916
310	412	914
311	413	912
312	414	909
313	415	907
314	416	905
315	417	903
316	418	900
317	419	898
318	420	896
319	420	894
320	421	892
321	422	889
322	423	887
323	424	885
324	425	883
325	426	881
326	427	879
327	427	876
328	428	874
329	429	872
330	430	870
331	431	868
332	432	866
333	433	864
334	434	862
335	435	860
336	436	858
337	437	856
338	438	854
339	439	852
340	439	850
341	441	848
342	442	846
343	442	844
344	443	842
345	444	840
346	445	838
347	446	836
348	447	834
349	448	832
350	449	830
351	450	828
352	451	826
353	451	824
354	452	822
355	453	820
356	454	818
357	455	816
358	456	814
359	456	812
360	457	810
361	458	808
362	459	806
363	460	804
364	461	802
365	462	800
366	463	798
367	463	796
368	464	794
369	465	793
370	466	791
371	467	789
372	468	787
373	469	785
374	470	783
375	470	781
376	471	779
377	472	777
378	473	776
379	474	774
380	475	772
381	476	770
382	477	768
383	477	766
384	478	764
385	479	763
386	480	761
387	481	759
388	482	757
389	483	755
390	484	754
391	485	752
392	486	750
393	487	749
394	488	747
395	488	745
396	489	743
397	490	742
398	491	740
399	492	738
400	493	737
401	494	735
402	495	733
403	495	731
404	496	729
405	497	727
406	498	726
407	499	725
408	500	723
409	501	721
410	502	720
411	503	718
412	504	717
413	505	715
414	506	713
415	507	712
416	508	711
417	509	709
418	510	708
419	511	706
420	512	705
421	513	703
422	514	701
423	515	700
424	516	698
425	517	696
426	518	695
427	519	693
428	520	692
429	520	690
430	521	688
431	522	687
432	523	685
433	524	683
434	525	682
435	526	680
436	527	679
437	528	677
438	529	676
439	529	674
440	530	673
441	531	671
442	533	670
443	534	668
444	534	667
445	535	665
446	536	663
447	537	662
448	538	660
449	539	659
450	540	657
451	540	655
452	541	654
453	542	652
454	543	651
455	544	649
456	545	648
457	546	646
458	547	645
459	548	643
460	549	642
461	550	640
462	550	639
463	551	637
464	552	636
465	553	634
466	554	632
467	555	631
468	556	629
469	557	628
