iter	Passed	Remaining
0	2	2360
1	5	2535
2	7	2343
3	8	2170
4	10	2093
5	12	2058
6	14	2047
7	16	2017
8	18	1990
9	21	2082
10	23	2119
11	25	2085
12	27	2052
13	28	2039
14	30	2011
15	32	1994
16	35	2034
17	36	2009
18	39	2018
19	42	2076
20	44	2071
21	46	2073
22	49	2094
23	51	2077
24	53	2068
25	54	2051
26	56	2049
27	59	2059
28	61	2042
29	62	2024
30	67	2096
31	69	2095
32	72	2131
33	74	2112
34	76	2099
35	78	2096
36	81	2122
37	83	2107
38	85	2115
39	88	2112
40	89	2095
41	91	2084
42	93	2082
43	95	2076
44	97	2070
45	99	2068
46	101	2066
47	103	2061
48	105	2055
49	108	2052
50	110	2050
51	111	2039
52	113	2034
53	116	2036
54	118	2029
55	119	2019
56	121	2011
57	124	2026
58	126	2016
59	128	2011
60	130	2011
61	132	2001
62	133	1989
63	135	1984
64	141	2030
65	142	2021
66	145	2031
67	147	2023
68	149	2018
69	151	2009
70	153	2004
71	155	1998
72	156	1988
73	158	1987
74	161	1986
75	163	1986
76	165	1980
77	166	1973
78	169	1973
79	170	1965
80	172	1958
81	174	1957
82	176	1945
83	177	1939
84	179	1930
85	180	1923
86	184	1932
87	185	1924
88	187	1917
89	190	1923
90	192	1917
91	193	1912
92	195	1904
93	196	1897
94	199	1897
95	200	1887
96	201	1878
97	203	1871
98	204	1864
99	206	1858
100	208	1852
101	209	1847
102	211	1843
103	214	1849
104	216	1844
105	218	1840
106	220	1840
107	222	1836
108	223	1830
109	225	1825
110	227	1820
111	229	1820
112	231	1815
113	233	1812
114	235	1810
115	236	1803
116	237	1795
117	239	1791
118	241	1786
119	242	1781
120	244	1777
121	245	1770
122	248	1771
123	251	1774
124	252	1768
125	254	1767
126	256	1761
127	259	1767
128	261	1764
129	263	1764
130	265	1761
131	267	1756
132	269	1753
133	270	1749
134	274	1758
135	275	1752
136	278	1751
137	279	1748
138	281	1742
139	282	1737
140	284	1733
141	285	1726
142	288	1726
143	289	1721
144	291	1716
145	293	1714
146	295	1711
147	296	1707
148	298	1704
149	300	1700
150	303	1707
151	305	1703
152	307	1702
153	309	1701
154	311	1698
155	313	1695
156	315	1692
157	317	1689
158	319	1690
159	321	1686
160	322	1680
161	324	1678
162	326	1676
163	329	1677
164	330	1673
165	333	1674
166	335	1671
167	337	1670
168	340	1672
169	341	1668
170	343	1666
171	345	1662
172	347	1663
173	349	1660
174	351	1657
175	353	1653
176	355	1652
177	357	1649
178	358	1646
179	360	1642
180	363	1642
181	364	1639
182	366	1637
183	369	1638
184	371	1635
185	372	1632
186	374	1629
187	377	1629
188	378	1625
189	380	1621
190	382	1618
191	384	1616
192	385	1613
193	387	1610
194	389	1608
195	392	1609
196	394	1606
197	396	1604
198	398	1603
199	400	1602
200	402	1599
201	404	1596
202	405	1593
203	407	1591
204	409	1587
205	411	1584
206	413	1585
207	415	1582
208	417	1579
209	419	1576
210	421	1575
211	423	1574
212	425	1572
213	427	1569
214	429	1568
215	431	1565
216	433	1562
217	434	1558
218	436	1556
219	438	1554
220	439	1550
221	441	1548
222	443	1546
223	445	1542
224	447	1540
225	448	1537
226	450	1535
227	458	1550
228	460	1549
229	462	1546
230	463	1543
231	465	1540
232	467	1538
233	468	1534
234	469	1529
235	471	1526
236	473	1522
237	474	1519
238	476	1516
239	478	1514
240	479	1511
241	482	1509
242	483	1505
243	484	1502
244	486	1500
245	488	1498
246	490	1494
247	491	1491
248	493	1488
249	495	1486
250	497	1484
251	499	1482
252	500	1478
253	502	1475
254	504	1473
255	505	1470
256	507	1467
257	509	1464
258	510	1461
259	512	1460
260	514	1457
261	516	1455
262	518	1452
263	519	1448
264	520	1444
265	522	1440
266	523	1436
267	524	1433
268	526	1431
269	528	1428
270	529	1425
271	531	1422
272	533	1419
273	534	1416
274	536	1413
275	538	1411
276	539	1409
277	541	1406
278	543	1403
279	544	1399
280	546	1397
281	547	1394
282	549	1391
283	550	1388
284	552	1385
285	554	1383
286	555	1381
287	557	1379
288	559	1376
289	561	1373
290	562	1371
291	564	1369
292	566	1367
293	568	1364
294	569	1361
295	572	1360
296	573	1358
297	575	1355
298	577	1353
299	578	1350
300	579	1346
301	581	1343
302	583	1341
303	584	1338
304	586	1335
305	588	1333
306	589	1331
307	591	1328
308	593	1326
309	594	1323
310	596	1321
311	597	1318
312	599	1315
313	601	1314
314	603	1311
315	604	1309
316	606	1307
317	608	1304
318	609	1302
319	611	1299
320	612	1296
321	614	1293
322	615	1290
323	617	1288
324	619	1285
325	620	1283
326	622	1281
327	624	1279
328	626	1277
329	627	1274
330	629	1271
331	630	1269
332	632	1267
333	634	1265
